[2023/07/24 05:57:51] - Namespace(cGAN=False, arch='ResNet18', target_arch='ResNet18', target_defense='AT_v2', target_dir='./checkpoints/', data='CIFAR100', test_batch_size=500, data_path='~/datasets/', batch_size=512, epochs=300, lr=0.1, momentum=0.9, weight_decay=0.0001, steps_S=500, steps_G=15, lr_G=0.005, lr_z=0.015, gen_dim_z=256, gen_distribution='normal', lr_hee=0.03, steps_hee=10, query_mode='hee', epsilon=0.03137254901960784, num_steps=10, step_size=0.00784313725490196, result_dir='results/GAN', save_freq=50, seed=1, lam=3.0, label_smooth_value=0.02)
[2023/07/24 23:08:55] - Epoch 148 Finish, Time Cost 414, nature_acc 0.4622, robust_acc 0.1633
[2023/07/24 23:15:49] - Epoch 149 Finish, Time Cost 414, nature_acc 0.4668, robust_acc 0.1683
[2023/07/24 23:22:44] - Epoch 150 Finish, Time Cost 414, nature_acc 0.4761, robust_acc 0.1707
[2023/07/24 23:29:38] - Epoch 151 Finish, Time Cost 413, nature_acc 0.4759, robust_acc 0.1627
[2023/07/24 23:36:33] - Epoch 152 Finish, Time Cost 414, nature_acc 0.4751, robust_acc 0.1637
[2023/07/24 23:43:28] - Epoch 153 Finish, Time Cost 415, nature_acc 0.4729, robust_acc 0.1673
[2023/07/24 23:50:23] - Epoch 154 Finish, Time Cost 414, nature_acc 0.4659, robust_acc 0.1655
[2023/07/24 23:57:18] - Epoch 155 Finish, Time Cost 415, nature_acc 0.4717, robust_acc 0.1710
[2023/07/25 00:04:13] - Epoch 156 Finish, Time Cost 414, nature_acc 0.4763, robust_acc 0.1659
[2023/07/25 00:11:07] - Epoch 157 Finish, Time Cost 414, nature_acc 0.4805, robust_acc 0.1692
[2023/07/25 00:18:02] - Epoch 158 Finish, Time Cost 414, nature_acc 0.4762, robust_acc 0.1725
[2023/07/25 00:24:57] - Epoch 159 Finish, Time Cost 414, nature_acc 0.4738, robust_acc 0.1691
[2023/07/25 00:31:52] - Epoch 160 Finish, Time Cost 415, nature_acc 0.4784, robust_acc 0.1702
[2023/07/25 00:38:48] - Epoch 161 Finish, Time Cost 415, nature_acc 0.4799, robust_acc 0.1680
[2023/07/25 00:45:41] - Epoch 162 Finish, Time Cost 412, nature_acc 0.4808, robust_acc 0.1713
